date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017-04-25,149362,141829,136443,134463,134232,136205,148294,165929,178433,185644,188067,188353,189336,189668,183524,179197,179104,178775,176748,177255,182682,192418,178714,162907.0
2017-04-26,153681,145680,140411,137938,136578,139302,150743,167552,178268,184221,187442,189925,192052,192968,186554,181704,179433,179250,176942,177965,182987,192309,180489,164358.0
2017-04-27,155063,146638,141119,139056,137787,140301,151918,167747,180895,188942,192114,193834,194893,194658,187060,182865,181487,180666,179167,178804,183829,194160,182796,166315.0
2017-04-28,156277,146914,141301,139067,138088,140135,151438,169221,184025,191330,193903,194020,195851,194970,187097,181330,177992,176149,173910,173819,176995,187332,179323,165489.0
2017-04-29,155540,145985,138019,134317,131932,130948,133216,135834,145264,159642,170591,172361,173027,172985,169796,161504,156240,153264,152551,153684,158764,170859,167392,155995.0
2017-04-30,145643,135475,128066,123541,120825,120301,121320,121230,126284,137938,148700,153794,155673,157059,155599,146884,141756,139566,138998,141115,146572,159683,159303,150412.0
2017-05-01,140648,130550,122725,117796,115853,115438,116971,116122,121425,132626,141488,145610,146477,147410,145800,138991,134504,131944,133061,135023,142529,159971,160945,149506.0
2017-05-02,138321,128632,122870,120600,119898,123277,137858,153574,166589,175909,180761,183497,184780,185004,179208,175745,173478,172700,170394,170972,176580,186605,177711,162437.0
2017-05-03,151013,141732,136090,134421,133348,136061,146933,163296,178866,184945,187376,189578,190876,190621,184586,180551,178812,177232,175592,175665,179026,190560,180853,164712.0
2017-05-04,154998,145549,140983,137456,136877,139486,149748,164633,177893,184146,185738,188093,189576,189866,184496,180270,179010,178403,176837,176982,180406,190449,180241,163835.0
2017-05-05,155655,147876,141594,138629,137853,139905,151490,165562,178474,185502,188351,189616,191085,190666,183627,178117,176126,174618,172930,171889,174819,184165,175929,162937.0
2017-05-06,155210,146847,139265,134858,132438,132219,134270,136372,145655,158871,166993,169764,168619,168236,163820,156765,151904,148861,147111,148264,150945,162013,161783,152151.0
2017-05-07,142003,132505,125895,121840,120507,119695,120559,118463,124558,134795,144831,149433,149888,149912,148638,141606,137953,137043,136310,138395,143701,158795,162460,152225.0
2017-05-08,140782,132945,127235,125181,123992,128013,141888,158026,171624,178959,183806,185010,187389,187763,182387,178521,178175,178038,175734,174357,177345,185666,176543,160373.0
2017-05-09,151801,144424,138419,136440,136006,138110,147743,162945,176305,183122,186771,188738,190778,191600,185605,181032,179302,179085,177775,176780,180873,188636,179293,164088.0
2017-05-10,154101,147033,140992,138431,138341,140299,151408,166853,179139,186171,189146,189784,191539,191321,184697,180906,179591,178962,177777,177486,181454,187216,176887,163126.0
2017-05-11,154281,146644,141329,139036,137482,139832,150111,163836,177674,185036,188469,190065,191180,190918,184514,180088,179341,176986,175530,174656,177828,185843,178402,162583.0
2017-05-12,152722,145378,139346,136869,135438,137586,148242,161551,175752,184107,186728,188322,189573,190065,183708,179266,177196,175811,173931,172711,173799,180505,174578,160819.0
2017-05-13,152793,144286,137830,133102,131719,130702,131925,132951,143482,156941,167249,169075,168325,168753,164823,156317,151605,150197,149146,149247,152396,162066,160654,150412.0
2017-05-14,140646,132123,125078,120753,118232,118466,119045,116530,123058,133650,142914,147941,149704,150639,150610,143092,138740,137023,136771,140179,144809,157087,161445,150803.0
2017-05-15,140743,132233,126204,123654,123662,126408,137922,151375,165566,172749,178323,181874,184565,186113,181733,177686,175707,175178,172860,172968,176131,183301,176008,160936.0
2017-05-16,152026,144951,139894,137616,137259,138943,149090,162830,176229,184658,188573,191599,193038,194777,188851,185478,184741,184938,182239,180345,181378,187414,180648,165061.0
2017-05-17,155358,147430,142031,139860,138600,140370,149141,163232,175040,183403,187516,189699,192452,192371,186483,183174,182229,181871,180640,179010,180395,184722,177989,163646.0
2017-05-18,154718,146716,140880,138376,137740,140171,149349,163100,176886,183903,186721,189097,191571,191380,184563,180358,178905,178583,177642,176569,177140,182433,176905,161364.0
2017-05-19,152562,144998,139155,137040,135589,137544,147845,162492,175900,183103,185500,187528,188960,189288,182834,176024,174510,173688,171751,170597,171204,175760,172768,159186.0
2017-05-20,152028,144371,137586,133599,130884,130640,130699,133464,143585,155771,164733,167595,167712,168036,164301,157261,153565,152243,151055,152467,153208,160371,161036,150586.0
2017-05-21,141590,133728,127435,123805,121949,120804,120474,118774,125281,136314,145401,150284,152072,154422,153876,146933,142016,140857,141878,144610,149981,157123,161374,151510.0
2017-05-22,141627,134721,129345,127052,126972,130139,142408,158639,173437,181398,186029,188674,191406,193201,187758,183468,183125,183011,180534,178483,180149,184204,178188,162481.0
2017-05-23,152348,145228,139747,137717,137130,138712,149319,163169,176845,184750,189203,193605,196123,198407,193211,188631,188680,189224,186984,185361,184881,187706,181844,166243.0
2017-05-24,156865,148728,143221,140699,139758,142367,151779,165111,179591,186672,191767,195744,199268,200263,194636,191557,191579,192491,190197,188729,186987,188810,183731,168008.0
2017-05-25,158935,150466,144447,143353,141624,143378,151603,165547,179253,188710,194461,198983,202610,203857,199206,195580,195764,197019,193751,191276,189358,190782,184939,170800.0
2017-05-26,161841,153674,147211,144645,142639,145214,152653,166802,180904,190988,195874,199948,204057,204115,197322,192232,191261,191485,189172,185608,183673,185397,179987,168192.0
2017-05-27,160947,151299,144697,141161,138025,135776,135642,136783,147798,161343,171207,174443,176466,177799,175108,167756,163365,162820,162152,161983,162956,169626,167656,157212.0
2017-05-28,147597,139622,132918,128616,126409,124995,123139,121773,127618,137804,147863,152448,155175,156876,157157,150202,144835,143385,143608,146318,150482,161521,165536,154200.0
2017-05-29,144132,135990,130931,128694,128552,131788,143103,159623,175372,185117,190696,192811,195593,196220,189763,185363,184454,184690,182605,181466,180566,183891,178323,164072.0
2017-05-30,155254,147359,141733,139331,138459,140006,148781,163425,177620,185419,190669,193094,196912,196584,190951,185665,184939,185414,183320,181365,180326,182790,177926,164153.0
2017-05-31,154673,146391,140929,138644,137870,139010,148214,161650,176232,184772,190795,193806,196160,196639,191827,188644,189696,190579,188706,186667,186144,187013,180955,166260.0
2017-06-01,156286,149006,142531,140268,139418,142111,150597,164943,177462,185409,189397,194540,198043,199703,195304,192682,193389,194428,192157,188804,188489,189634,184553,170546.0
2017-06-02,160847,152419,146937,144117,143625,145469,153778,166598,179955,188036,192267,196607,200831,202477,197652,193763,192688,192400,191682,189107,186221,185137,180292,167896.0
2017-06-03,160913,153855,145588,141723,139474,137626,135799,138018,148786,160897,172143,176237,177961,179752,175457,166584,161349,159437,159969,161391,164581,167124,165401,156010.0
2017-06-04,147440,137529,131198,127878,125297,124583,122873,120643,125577,135080,144309,150200,152533,155820,154931,148459,142826,141518,142247,144528,149868,157545,161940,153099.0
2017-06-05,143575,135085,130253,127173,127840,129617,139218,153674,167127,174740,178851,181645,183043,186762,183365,179957,180350,180377,180152,177635,179140,180930,179095,164707.0
2017-06-06,155588,147731,142452,139736,138724,139980,148620,163260,176971,184340,188889,192843,195864,196727,191960,188063,188873,189751,187381,185939,185315,186374,181772,167516.0
2017-06-07,159358,150465,145449,142225,141572,143780,151356,165418,178531,186261,190836,194167,196578,198376,194654,192955,193162,193552,191751,189738,188766,188548,185494,170956.0
2017-06-08,161560,152961,147330,144585,144064,145779,153299,167595,180480,187913,193680,198488,201923,204391,200261,198214,199345,200025,198111,194743,191473,191449,185910,172727.0
2017-06-09,164814,156184,150399,147454,146828,147738,156536,169407,180872,189847,194907,199457,203323,204153,199118,195128,194773,195208,193248,190850,186387,183917,180809,170007.0
2017-06-10,163361,155078,147444,142998,140050,137960,137583,139075,149940,163460,174072,178571,181029,182494,180113,174148,170552,168696,169764,171647,170757,172258,173324,164969.0
2017-06-11,156376,146575,138068,133665,130369,128711,127397,126491,133854,143308,153721,160255,164102,168355,170241,166601,163403,161176,161782,163598,166768,171806,178328,168240.0
2017-06-12,157709,147409,140968,138601,138135,140706,151831,167747,184286,195833,204134,210311,214041,217275,214723,213218,213826,215242,212466,208408,204369,202759,198679,183656.0
2017-06-13,172509,163862,157021,153874,152272,153473,160370,174614,189948,202008,209594,215325,220808,223576,219685,217807,219251,220084,216995,212772,209404,206094,202919,187793.0
2017-06-14,176447,166863,159255,155822,154161,155199,163447,178132,193378,203465,211582,217785,222929,226352,223956,223846,224690,226148,222805,218244,213256,210375,206096,190862.0
2017-06-15,179633,169418,161351,157741,156019,157691,163856,176950,191554,203876,212198,218162,224436,228913,226825,225608,226658,226961,223434,218776,214218,211543,205718,191761.0
2017-06-16,181790,170786,162690,159303,156822,157434,165178,178931,193511,206083,214798,220223,226737,230978,227898,225323,226278,224971,221469,217336,210215,204733,200419,189740.0
2017-06-17,183399,173309,162638,156641,153648,151403,149826,151787,163795,177621,191174,199330,204888,208666,208641,204483,200694,197538,196267,194414,193823,193574,193879,184058.0
2017-06-18,172859,161932,152606,146958,143902,141125,138266,136573,142571,153407,164395,171951,179418,184275,188054,186884,184114,182073,182306,182521,184344,187872,195544,187167.0
